"Source plate"," source well"," Destination plate"," Destination well"," vol"," Specimen name"
"source1"," 1"," 1"," 1"," 10"," 1"
"source1"," 2"," 1"," 2"," 10"," 1"
"source1"," 3"," 1"," 3"," 10"," 1"
"source1"," 4"," 1"," 4"," 10"," 1"
"source1"," 1"," 1"," 17"," 10"," 1"
"source1"," 2"," 1"," 18"," 10"," 1"
"source1"," 3"," 1"," 19"," 10"," 1"
"source1"," 4"," 1"," 20"," 10"," 1"
"source1"," 1"," 1"," 33"," 10"," 1"
"source1"," 2"," 1"," 34"," 10"," 1"
"source1"," 3"," 1"," 35"," 10"," 1"
"source1"," 4"," 1"," 36"," 10"," 1"
"source1"," 1"," 1"," 49"," 10"," 1"
"source1"," 2"," 1"," 50"," 10"," 1"
"source1"," 3"," 1"," 51"," 10"," 1"
"source1"," 4"," 1"," 52"," 10"," 1"
"source1"," 1"," 1"," 65"," 10"," 1"
"source1"," 2"," 1"," 66"," 10"," 1"
"source1"," 3"," 1"," 67"," 10"," 1"
"source1"," 4"," 1"," 68"," 10"," 1"
"source1"," 5"," 1"," 5"," 10"," 1"
"source1"," 6"," 1"," 6"," 10"," 1"
"source1"," 7"," 1"," 7"," 10"," 1"
"source1"," 8"," 1"," 8"," 10"," 1"
"source1"," 5"," 1"," 21"," 10"," 1"
"source1"," 6"," 1"," 22"," 10"," 1"
"source1"," 7"," 1"," 23"," 10"," 1"
"source1"," 8"," 1"," 24"," 10"," 1"
"source1"," 5"," 1"," 37"," 10"," 1"
"source1"," 6"," 1"," 38"," 10"," 1"
"source1"," 7"," 1"," 39"," 10"," 1"
"source1"," 8"," 1"," 40"," 10"," 1"
"source1"," 5"," 1"," 53"," 10"," 1"
"source1"," 6"," 1"," 54"," 10"," 1"
"source1"," 7"," 1"," 55"," 10"," 1"
"source1"," 8"," 1"," 56"," 10"," 1"
"source1"," 5"," 1"," 69"," 10"," 1"
"source1"," 6"," 1"," 70"," 10"," 1"
"source1"," 7"," 1"," 71"," 10"," 1"
"source1"," 8"," 1"," 72"," 10"," 1"
"source1"," 9"," 1"," 9"," 10"," 1"
"source1"," 10"," 1"," 10"," 10"," 1"
"source1"," 11"," 1"," 11"," 10"," 1"
"source1"," 12"," 1"," 12"," 10"," 1"
"source1"," 9"," 1"," 25"," 10"," 1"
"source1"," 10"," 1"," 26"," 10"," 1"
"source1"," 11"," 1"," 27"," 10"," 1"
"source1"," 12"," 1"," 28"," 10"," 1"
"source1"," 9"," 1"," 41"," 10"," 1"
"source1"," 10"," 1"," 42"," 10"," 1"
"source1"," 11"," 1"," 43"," 10"," 1"
"source1"," 12"," 1"," 44"," 10"," 1"
"source1"," 9"," 1"," 57"," 10"," 1"
"source1"," 10"," 1"," 58"," 10"," 1"
"source1"," 11"," 1"," 59"," 10"," 1"
"source1"," 12"," 1"," 60"," 10"," 1"
"source1"," 9"," 1"," 73"," 10"," 1"
"source1"," 10"," 1"," 74"," 10"," 1"
"source1"," 11"," 1"," 75"," 10"," 1"
"source1"," 12"," 1"," 76"," 10"," 1"
"source1"," 13"," 1"," 13"," 10"," 1"
"source1"," 14"," 1"," 14"," 10"," 1"
"source1"," 15"," 1"," 15"," 10"," 1"
"source1"," 16"," 1"," 16"," 10"," 1"
"source1"," 13"," 1"," 29"," 10"," 1"
"source1"," 14"," 1"," 30"," 10"," 1"
"source1"," 15"," 1"," 31"," 10"," 1"
"source1"," 16"," 1"," 32"," 10"," 1"
"source1"," 13"," 1"," 45"," 10"," 1"
"source1"," 14"," 1"," 46"," 10"," 1"
"source1"," 15"," 1"," 47"," 10"," 1"
"source1"," 16"," 1"," 48"," 10"," 1"
"source1"," 13"," 1"," 61"," 10"," 1"
"source1"," 14"," 1"," 62"," 10"," 1"
"source1"," 15"," 1"," 63"," 10"," 1"
"source1"," 16"," 1"," 64"," 10"," 1"
"source1"," 13"," 1"," 77"," 10"," 1"
"source1"," 14"," 1"," 78"," 10"," 1"
"source1"," 15"," 1"," 79"," 10"," 1"
"source1"," 16"," 1"," 80"," 10"," 1"
"source1"," 17"," 1"," 1"," 10"," 1"
"source1"," 18"," 1"," 2"," 10"," 1"
"source1"," 19"," 1"," 3"," 10"," 1"
"source1"," 20"," 1"," 4"," 10"," 1"
"source1"," 17"," 1"," 18"," 10"," 1"
"source1"," 18"," 1"," 19"," 10"," 1"
"source1"," 19"," 1"," 20"," 10"," 1"
"source1"," 20"," 1"," 21"," 10"," 1"
"source1"," 17"," 1"," 35"," 10"," 1"
"source1"," 18"," 1"," 36"," 10"," 1"
"source1"," 19"," 1"," 37"," 10"," 1"
"source1"," 20"," 1"," 38"," 10"," 1"
"source1"," 17"," 1"," 52"," 10"," 1"
"source1"," 18"," 1"," 53"," 10"," 1"
"source1"," 19"," 1"," 54"," 10"," 1"
"source1"," 20"," 1"," 55"," 10"," 1"
"source1"," 17"," 1"," 69"," 10"," 1"
"source1"," 18"," 1"," 70"," 10"," 1"
"source1"," 19"," 1"," 71"," 10"," 1"
"source1"," 20"," 1"," 72"," 10"," 1"
"source1"," 21"," 1"," 5"," 10"," 1"
"source1"," 22"," 1"," 6"," 10"," 1"
"source1"," 23"," 1"," 7"," 10"," 1"
"source1"," 24"," 1"," 8"," 10"," 1"
"source1"," 21"," 1"," 22"," 10"," 1"
"source1"," 22"," 1"," 23"," 10"," 1"
"source1"," 23"," 1"," 24"," 10"," 1"
"source1"," 24"," 1"," 25"," 10"," 1"
"source1"," 21"," 1"," 39"," 10"," 1"
"source1"," 22"," 1"," 40"," 10"," 1"
"source1"," 23"," 1"," 41"," 10"," 1"
"source1"," 24"," 1"," 42"," 10"," 1"
"source1"," 21"," 1"," 56"," 10"," 1"
"source1"," 22"," 1"," 57"," 10"," 1"
"source1"," 23"," 1"," 58"," 10"," 1"
"source1"," 24"," 1"," 59"," 10"," 1"
"source1"," 21"," 1"," 73"," 10"," 1"
"source1"," 22"," 1"," 74"," 10"," 1"
